2023-10-02-20-06: using tensorboard
2023-10-02-20-06: Get lr 0.0 from base lr 0.0 with none
2023-10-02-20-06: {'overall': {'trainable': '9.694Mb; 10.165M', 'non_trainable': '38.193Mb; 40.049M', 'total': '48.404Mb; 50.755M', 'buffer': '528.987Kb; 541.683K'}, 'encoder': {'trainable': '627.5Kb; 642.56K', 'non_trainable': '0b; 0', 'buffer': '0b; 0', 'total': '627.5Kb; 642.56K'}, 'decoder': {'trainable': '6.32Mb; 6.627M', 'non_trainable': '0b; 0', 'buffer': '0b; 0', 'total': '6.32Mb; 6.627M'}, 'quantize': {'trainable': '0b; 0', 'non_trainable': '0b; 0', 'buffer': '513.0Kb; 525.312K', 'total': '513.0Kb; 525.312K'}, 'quant_conv': {'trainable': '64.25Kb; 65.792K', 'non_trainable': '0b; 0', 'buffer': '0b; 0', 'total': '64.25Kb; 65.792K'}, 'post_quant_conv': {'trainable': '64.25Kb; 65.792K', 'non_trainable': '0b; 0', 'buffer': '0b; 0', 'total': '64.25Kb; 65.792K'}, 'loss': {'trainable': '2.636Mb; 2.764M', 'non_trainable': '38.193Mb; 40.049M', 'buffer': '15.987Kb; 16.371K', 'total': '40.845Mb; 42.829M'}, 'total': '48.407Mb; 50.759M'}
2023-10-02-20-06: exp_name: global rank 0: prepare solver done!
2023-10-02-20-06: exp_name: global rank 0: start training...
2023-10-02-20-06: exp_name: train: Epoch 0/1 iter 0/4312 || generator | rec_loss: 0.3984 | loss: 1.1653 | quantize_loss: 0.7668 | used_unmasked_quantize_embed: 1.0000 | used_masked_quantize_embed: 3.0000 | unmasked_num_token: 13482.0000 | masked_num_token: 2902.0000 || discriminator | loss: 0.0000 || generator_lr: 4e-08, discriminator_lr: 4e-09 || data_time: 19.4s | fbward_time: 2.7s | iter_time: 22.2s | iter_avg_time: 22.2s | epoch_time: 22s | spend_time: 22s | left_time: 1d:02h:34m:32s
2023-10-02-20-09: exp_name: train: Epoch 0/1 iter 10/4312 || generator | rec_loss: 0.3974 | loss: 0.3989 | quantize_loss: 0.0015 | used_unmasked_quantize_embed: 1.0000 | used_masked_quantize_embed: 1.0000 | unmasked_num_token: 14181.0000 | masked_num_token: 2203.0000 || discriminator | loss: 0.0000 || generator_lr: 4.4e-07, discriminator_lr: 4.4e-08 || data_time: 12.8s | fbward_time: 0.6s | iter_time: 13.4s | iter_avg_time: 14.5s | epoch_time: 02m:39s | spend_time: 02m:39s | left_time: 17h:16m:53s
2023-10-02-20-11: exp_name: train: Epoch 0/1 iter 20/4312 || generator | rec_loss: 0.4875 | loss: 0.4889 | quantize_loss: 0.0014 | used_unmasked_quantize_embed: 1.0000 | used_masked_quantize_embed: 1.0000 | unmasked_num_token: 14581.0000 | masked_num_token: 1803.0000 || discriminator | loss: 0.0000 || generator_lr: 8.4e-07, discriminator_lr: 8.4e-08 || data_time: 12.2s | fbward_time: 0.6s | iter_time: 12.8s | iter_avg_time: 13.8s | epoch_time: 04m:49s | spend_time: 04m:49s | left_time: 16h:26m:17s
2023-10-02-20-13: exp_name: train: Epoch 0/1 iter 30/4312 || generator | rec_loss: 0.4481 | loss: 0.4495 | quantize_loss: 0.0014 | used_unmasked_quantize_embed: 1.0000 | used_masked_quantize_embed: 1.0000 | unmasked_num_token: 15089.0000 | masked_num_token: 1295.0000 || discriminator | loss: 0.0000 || generator_lr: 1.24e-06, discriminator_lr: 1.24e-07 || data_time: 13.9s | fbward_time: 0.6s | iter_time: 14.5s | iter_avg_time: 13.6s | epoch_time: 07m:01s | spend_time: 07m:01s | left_time: 16h:09m:24s
2023-10-02-20-15: exp_name: train: Epoch 0/1 iter 40/4312 || generator | rec_loss: 0.4083 | loss: 0.4095 | quantize_loss: 0.0011 | used_unmasked_quantize_embed: 1.0000 | used_masked_quantize_embed: 1.0000 | unmasked_num_token: 14089.0000 | masked_num_token: 2295.0000 || discriminator | loss: 0.0000 || generator_lr: 1.64e-06, discriminator_lr: 1.64e-07 || data_time: 11.8s | fbward_time: 0.6s | iter_time: 12.4s | iter_avg_time: 13.4s | epoch_time: 09m:10s | spend_time: 09m:10s | left_time: 15h:56m:26s
2023-10-02-20-17: exp_name: train: Epoch 0/1 iter 50/4312 || generator | rec_loss: 0.4593 | loss: 0.4605 | quantize_loss: 0.0011 | used_unmasked_quantize_embed: 1.0000 | used_masked_quantize_embed: 1.0000 | unmasked_num_token: 12585.0000 | masked_num_token: 3799.0000 || discriminator | loss: 0.0000 || generator_lr: 2.04e-06, discriminator_lr: 2.04e-07 || data_time: 12.5s | fbward_time: 0.6s | iter_time: 13.1s | iter_avg_time: 13.3s | epoch_time: 11m:18s | spend_time: 11m:18s | left_time: 15h:45m:01s
2023-10-02-20-19: exp_name: train: Epoch 0/1 iter 60/4312 || generator | rec_loss: 0.4544 | loss: 0.4555 | quantize_loss: 0.0011 | used_unmasked_quantize_embed: 1.0000 | used_masked_quantize_embed: 1.0000 | unmasked_num_token: 12031.0000 | masked_num_token: 4353.0000 || discriminator | loss: 0.0000 || generator_lr: 2.44e-06, discriminator_lr: 2.44e-07 || data_time: 12.0s | fbward_time: 0.6s | iter_time: 12.7s | iter_avg_time: 13.2s | epoch_time: 13m:22s | spend_time: 13m:22s | left_time: 15h:32m:14s
2023-10-02-20-21: exp_name: train: Epoch 0/1 iter 70/4312 || generator | rec_loss: 0.3995 | loss: 0.4007 | quantize_loss: 0.0012 | used_unmasked_quantize_embed: 1.0000 | used_masked_quantize_embed: 1.0000 | unmasked_num_token: 15206.0000 | masked_num_token: 1178.0000 || discriminator | loss: 0.0000 || generator_lr: 2.84e-06, discriminator_lr: 2.84e-07 || data_time: 11.6s | fbward_time: 0.7s | iter_time: 12.2s | iter_avg_time: 13.0s | epoch_time: 15m:21s | spend_time: 15m:21s | left_time: 15h:17m:19s
2023-10-02-20-23: exp_name: train: Epoch 0/1 iter 80/4312 || generator | rec_loss: 0.4154 | loss: 0.4164 | quantize_loss: 0.0010 | used_unmasked_quantize_embed: 1.0000 | used_masked_quantize_embed: 1.0000 | unmasked_num_token: 12984.0000 | masked_num_token: 3400.0000 || discriminator | loss: 0.0000 || generator_lr: 3.24e-06, discriminator_lr: 3.24e-07 || data_time: 10.0s | fbward_time: 0.6s | iter_time: 10.6s | iter_avg_time: 12.9s | epoch_time: 17m:22s | spend_time: 17m:22s | left_time: 15h:07m:45s
2023-10-02-20-25: exp_name: train: Epoch 0/1 iter 90/4312 || generator | rec_loss: 0.4479 | loss: 0.4490 | quantize_loss: 0.0011 | used_unmasked_quantize_embed: 1.0000 | used_masked_quantize_embed: 1.0000 | unmasked_num_token: 14104.0000 | masked_num_token: 2280.0000 || discriminator | loss: 0.0000 || generator_lr: 3.64e-06, discriminator_lr: 3.64e-07 || data_time: 11.1s | fbward_time: 0.6s | iter_time: 11.7s | iter_avg_time: 12.8s | epoch_time: 19m:23s | spend_time: 19m:23s | left_time: 14h:59m:28s
2023-10-02-20-27: exp_name: train: Epoch 0/1 iter 100/4312 || generator | rec_loss: 0.4023 | loss: 0.4033 | quantize_loss: 0.0009 | used_unmasked_quantize_embed: 1.0000 | used_masked_quantize_embed: 1.0000 | unmasked_num_token: 11308.0000 | masked_num_token: 5076.0000 || discriminator | loss: 0.0000 || generator_lr: 4.04e-06, discriminator_lr: 4.04e-07 || data_time: 10.3s | fbward_time: 0.6s | iter_time: 10.9s | iter_avg_time: 12.7s | epoch_time: 21m:20s | spend_time: 21m:20s | left_time: 14h:49m:38s
